dc_voltage,dc_current,ac_voltage_rectifier,ac_voltage_inverter,active_power,reactive_power,firing_angle_rectifier,extinction_angle_inverter,network_packet_rate,communication_latency,label
476.21482369013376,1.4155267622848582,213.49304615032813,205.17983402516575,934.2174380888563,47.190632544450295,16.96865656545403,17.19314512046822,33917,181.88549480110237,1
533.9927255390346,2.732752519830416,223.98725254814713,235.91172461621915,1073.0349773700775,108.55132718309864,20.824429834018034,19.74856576449413,245,6.397731503911547,2
501.29710003222664,2.2253187980040625,228.37437443783315,234.26678986442496,1286.9929442461626,69.17613034898756,17.87297945225355,15.84786103376395,150,8.470871637144342,2
494.6801576891007,1.6580261333167816,202.85286498858636,218.63260240253382,888.9089120729832,80.4278715067401,13.554638924171105,18.93210249774109,10033,163.8643565807108,1
503.0300497567282,1.9758742345381457,223.13526542225426,215.92283800456758,997.4268110729589,29.14207561094996,13.836957349715398,17.700303943335687,286,5.051284422337255,0
509.4309295060527,2.061277390506257,217.29813779605638,211.12057536872405,994.1151498872708,39.70027725223064,17.3378277453883,16.065035882759528,179,4.489575339641951,0
495.7195808704557,2.0086143883046375,219.80942627615394,213.81131096569473,978.4031510443702,65.40323979819885,15.26918092025516,18.169747767970662,125,5.447808538074135,0
502.5545180972921,2.512735023634216,225.222719273255,236.95998693574776,1197.8612484677847,98.05241357465255,17.345015752206937,27.61903380402549,167,4.55114685744364,2
524.7994318110535,2.1670866293425575,230.8129084283152,219.05216027092442,1006.9651581447652,75.07363840793464,8.50617850785725,21.27830636740094,220,4.908243017890975,2
492.6285875732306,2.3889354105483127,221.25721238129546,204.2343912638264,948.7739441296643,51.97817849160862,14.376169488734801,19.214337936390113,46765,301.62368305686647,1
511.66279658576497,2.3511671169052493,239.86425437233822,194.77391556791122,1054.985816194558,74.05090140270751,18.05405959441986,20.95991204320651,393,5.55622672907391,2
496.42348145370016,2.096387911679491,214.40038014591815,217.338047011716,1005.531630111821,56.00212965744278,15.829323772582862,18.160649940353117,257,3.804591037183112,0
501.3951076288517,1.9457326200265979,225.54582649988924,214.72446570699515,1004.2279313494132,41.0648490748072,13.714000293483506,18.0022316221624,197,5.082375608251174,0
494.5947172979587,2.021319662823769,219.90568248887567,215.02364055408418,996.9976609749239,47.15163062257798,14.799798745699631,18.07386343441088,168,4.7938165650544935,0
471.67258853531297,2.6627162323321416,204.27945848029574,217.6354844481144,933.3279475052908,115.79708608241081,13.571206122662343,37.45813491249036,291,14.759962022327166,3
458.3235170975087,3.335963068038978,200.43073519010898,199.21770635694085,815.9933962289324,124.91926895940398,48.24172480200676,30.597694949199166,542,19.499438586004967,3
